2026-01-18T02:10:37Z	1
2026-01-19T16:29:41Z	2401
2026-01-20T02:29:00Z	3201
2026-01-20T10:40:05Z	4001
2026-01-21T02:41:38Z	6401
2026-01-21T06:32:42Z	7201
2026-01-21T14:00:37Z	8801
2026-01-21T17:06:04Z	9601
2026-01-21T21:41:34Z	10401
2026-01-22T07:39:22Z	12801
2026-01-22T14:20:06Z	14401
2026-01-22T17:23:08Z	15201
2026-01-22T23:12:45Z	16001
2026-01-23T02:48:23Z	16801
2026-01-23T06:05:42Z	17601
2026-01-23T08:26:13Z	18401
2026-01-23T11:14:50Z	19201
2026-01-24T03:25:42Z	21601
2026-01-24T09:09:49Z	22401
2026-01-24T14:43:14Z	23201
2026-01-24T22:16:29Z	24001
2026-01-25T06:32:15Z	24801
2026-01-25T12:11:35Z	25601
2026-01-26T13:12:43Z	28801
2026-01-27T02:15:14Z	29601
2026-01-28T03:21:25Z	31201
2026-01-28T18:33:30Z	32001
2026-01-29T14:42:35Z	32801
2026-01-30T14:26:07Z	33601
2026-01-31T14:57:31Z	34401
2026-02-01T14:22:39Z	35201
2026-02-03T08:27:41Z	36801
2026-02-05T08:07:42Z	38401
2026-02-06T07:51:44Z	39201
2026-02-07T21:36:33Z	40000
